tenantId,typeId,id,Value,isActive,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b01,Asian,TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b02,Other countries,TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b03,Italian,TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b04,French,TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b05,"Modern, creative",TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b06,Indian / Pakistani ,TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b07,Seafood ,TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b08,Traditional ,TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b09,Contemporary ,TRUE,,,,,
fe5d2b85-b5f4-4f2b-8f59-f8623ab92a4e,ebf28901-041e-4b2e-8fb7-bc9a8cbb034b,e547a3da-ed5c-4a8f-a212-81dcd0ee4b10,Meats and grills ,TRUE,,,,,
